Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;06.09.2021;14,1;0;7,6
Bergen - Florida;SN50540;07.09.2021;14,9;2;6,9
Bergen - Florida;SN50540;08.09.2021;17;12,7;6,1
Bergen - Florida;SN50540;09.09.2021;17,9;0,9;5,4
Bergen - Florida;SN50540;10.09.2021;17,6;0;3
Bergen - Florida;SN50540;11.09.2021;16,3;3,2;6,4
Bergen - Florida;SN50540;12.09.2021;13,3;20,2;7,9
Bergen - Florida;SN50540;13.09.2021;12,3;0;5,6
Bergen - Florida;SN50540;14.09.2021;11,4;0;4,9
Bergen - Florida;SN50540;15.09.2021;13,2;0;3,1
Bergen - Florida;SN50540;16.09.2021;13,7;1,2;3,5
Bergen - Florida;SN50540;17.09.2021;13,8;0,7;4,5
Bergen - Florida;SN50540;18.09.2021;14,5;0;6
Bergen - Florida;SN50540;19.09.2021;14,4;0;6,6
Bergen - Florida;SN50540;20.09.2021;12,9;0;8,6
Bergen - Florida;SN50540;21.09.2021;12,6;11,9;9
Bergen - Florida;SN50540;22.09.2021;13,4;0,9;8,2
Bergen - Florida;SN50540;23.09.2021;9,9;41,9;9
Bergen - Florida;SN50540;24.09.2021;10,4;24,2;8,9
Bergen - Florida;SN50540;25.09.2021;11,4;36,3;5,8
Bergen - Florida;SN50540;26.09.2021;16,1;0,1;8,1
Bergen - Florida;SN50540;27.09.2021;19;0,2;9,9
Bergen - Florida;SN50540;28.09.2021;13,4;20,9;12,4
Bergen - Florida;SN50540;29.09.2021;15,2;0;7,7
Bergen - Florida;SN50540;30.09.2021;13,2;1,4;7,4
Bergen - Florida;SN50540;01.10.2021;12,9;3,4;9,5
Bergen - Florida;SN50540;02.10.2021;11,7;10,3;8,5
Bergen - Florida;SN50540;03.10.2021;13,6;5,5;15,9
Bergen - Florida;SN50540;04.10.2021;11,7;20,4;12,6
Bergen - Florida;SN50540;05.10.2021;11;39,2;5,6
Bergen - Florida;SN50540;06.10.2021;10;3,5;4
Bergen - Florida;SN50540;07.10.2021;11,1;4,6;7,4
Bergen - Florida;SN50540;08.10.2021;14,2;46;9,7
Bergen - Florida;SN50540;09.10.2021;13,8;31;10,2
Bergen - Florida;SN50540;10.10.2021;11,3;33,4;6,7
Bergen - Florida;SN50540;11.10.2021;7,1;26,4;8,3
Bergen - Florida;SN50540;12.10.2021;6,5;13,7;7,1
Bergen - Florida;SN50540;13.10.2021;7,2;0,1;9,2
Bergen - Florida;SN50540;14.10.2021;10,8;18,4;7,7
Bergen - Florida;SN50540;15.10.2021;7,7;31,8;10,4
Bergen - Florida;SN50540;16.10.2021;7;16,9;6,2
Bergen - Florida;SN50540;17.10.2021;4,7;4,6;2,8
Bergen - Florida;SN50540;18.10.2021;4,5;0;2,3
Bergen - Florida;SN50540;19.10.2021;11;4,8;9,9
Bergen - Florida;SN50540;20.10.2021;10,6;56,9;8,1
Bergen - Florida;SN50540;21.10.2021;5;27,6;11,7
Bergen - Florida;SN50540;22.10.2021;4,6;8,8;12,5
Bergen - Florida;SN50540;23.10.2021;6,6;7,2;9,2
Bergen - Florida;SN50540;24.10.2021;10,3;2,2;10,7
Bergen - Florida;SN50540;25.10.2021;10,6;50,7;7,9
Bergen - Florida;SN50540;26.10.2021;9,1;10,5;6,5
Bergen - Florida;SN50540;27.10.2021;11,9;32,3;8,4
Bergen - Florida;SN50540;28.10.2021;12,1;26;7,9
Bergen - Florida;SN50540;29.10.2021;13,7;87,9;11,9
Bergen - Florida;SN50540;30.10.2021;11,9;10,6;13,9
Bergen - Florida;SN50540;31.10.2021;10,6;6,7;10,2
Bergen - Florida;SN50540;01.11.2021;11,2;13,8;12,1
Bergen - Florida;SN50540;02.11.2021;9,6;7,7;10,7
Bergen - Florida;SN50540;03.11.2021;8;0,8;6
Bergen - Florida;SN50540;04.11.2021;6,7;1,9;3,9
Bergen - Florida;SN50540;05.11.2021;7;5,2;4,9
Bergen - Florida;SN50540;06.11.2021;6,9;15,5;7,7
Bergen - Florida;SN50540;07.11.2021;8,2;25;11,4
Bergen - Florida;SN50540;08.11.2021;7,5;12,7;7,6
Bergen - Florida;SN50540;09.11.2021;9,6;25,8;9,7
Bergen - Florida;SN50540;10.11.2021;8,2;7,3;7,6
Bergen - Florida;SN50540;11.11.2021;7,1;13,3;8,9
Bergen - Florida;SN50540;12.11.2021;7,7;7,4;7,4
Bergen - Florida;SN50540;13.11.2021;8,6;0,5;9,6
Bergen - Florida;SN50540;14.11.2021;5,8;0;4,4
Bergen - Florida;SN50540;15.11.2021;8,4;0;9,5
Bergen - Florida;SN50540;16.11.2021;9,3;29,2;8,2
Bergen - Florida;SN50540;17.11.2021;6,1;36,5;9
Bergen - Florida;SN50540;18.11.2021;7,5;10,2;8,1
Bergen - Florida;SN50540;19.11.2021;9,1;35,5;9,6
Bergen - Florida;SN50540;20.11.2021;6,3;7,2;5,6
Bergen - Florida;SN50540;21.11.2021;3,1;13,5;6,1
Bergen - Florida;SN50540;22.11.2021;4,9;2,2;6,1
Bergen - Florida;SN50540;23.11.2021;7,2;12,4;5,9
Bergen - Florida;SN50540;24.11.2021;6,8;18,9;5,7
Bergen - Florida;SN50540;25.11.2021;2,5;23,1;7,4
Bergen - Florida;SN50540;26.11.2021;2,5;0,1;8,3
Bergen - Florida;SN50540;27.11.2021;-0,5;0;2,9
Bergen - Florida;SN50540;28.11.2021;-4;0;2,2
Bergen - Florida;SN50540;29.11.2021;-2;0;9,7
Bergen - Florida;SN50540;30.11.2021;0,6;8,1;12,8
Bergen - Florida;SN50540;01.12.2021;-2,5;0,1;2,8
Bergen - Florida;SN50540;02.12.2021;-2,1;0,2;5,2
Bergen - Florida;SN50540;03.12.2021;0,2;2,3;5,5
Bergen - Florida;SN50540;04.12.2021;2,6;0,6;11,7
Bergen - Florida;SN50540;05.12.2021;0,9;0,9;6,5
Bergen - Florida;SN50540;06.12.2021;1,5;0;11,9
Bergen - Florida;SN50540;07.12.2021;4,1;0,1;9,9
Bergen - Florida;SN50540;08.12.2021;3,1;0;12,6
Bergen - Florida;SN50540;09.12.2021;4,5;0;10
Bergen - Florida;SN50540;10.12.2021;3,3;0;13,1
Bergen - Florida;SN50540;11.12.2021;0,5;0;8,6
Bergen - Florida;SN50540;12.12.2021;5,1;2,4;10,2
Bergen - Florida;SN50540;13.12.2021;7,1;2,2;10,1
Bergen - Florida;SN50540;14.12.2021;6,3;11,2;9
Bergen - Florida;SN50540;15.12.2021;9,2;57;7,4
Bergen - Florida;SN50540;16.12.2021;7,3;2,6;7,8
Bergen - Florida;SN50540;17.12.2021;7,7;4,8;4,3
Bergen - Florida;SN50540;18.12.2021;7,6;4,6;5,7
Bergen - Florida;SN50540;19.12.2021;3,8;3,6;9,1
Bergen - Florida;SN50540;20.12.2021;0;0;4,5
Bergen - Florida;SN50540;21.12.2021;0,9;0;4,5
Bergen - Florida;SN50540;22.12.2021;3,6;0,6;6,2
Bergen - Florida;SN50540;23.12.2021;1,1;0;5,8
Bergen - Florida;SN50540;24.12.2021;-2,2;0,2;7,5
Bergen - Florida;SN50540;25.12.2021;-2,9;0;3,6
Bergen - Florida;SN50540;26.12.2021;-2;0;3,6
Bergen - Florida;SN50540;27.12.2021;-2,2;0;3,5
Bergen - Florida;SN50540;28.12.2021;0,7;0,7;7,9
Bergen - Florida;SN50540;29.12.2021;2,4;0,4;4,4
